,UMAP1,UMAP2,UMAP3,esg_rating,ticker,dividend_yield,dividend_yield_qtl,quality_score,quality_score_qtl,carbon_intensity,carbon_intensity_qtl,aum_qtl,aum,investment_strategy,asset_class,asset_region,subsegment,grade
180,13.756935,4.918902,-0.5028662,A,IWY,0.95,Q1,7.03,Q4,34.87,Q1,Q4,7230000000.0,standard,equity,us,large_cap,A
181,2.728385,14.511335,3.099942,A,SCHZ,,Q4,6.02,Q2,237.55,Q3,Q4,7170000000.0,standard,fixed_income,us,broad_based,A
182,2.6536536,14.603928,3.2288394,AA,FLOT,,Q4,7.45,Q4,63.23,Q1,Q4,7140000000.0,standard,fixed_income,us,broad_based,A
183,4.058052,4.716133,7.7401423,BBB,IJS,2.53,Q3,5.5,Q1,100.22,Q2,Q4,7110000000.0,standard,equity,us,small_cap,A
184,14.60778,5.200058,1.5439425,A,SPTL,,Q4,5.72,Q1,1.6,Q1,Q4,7030000000.0,standard,fixed_income,us,government,A
185,9.26474,-4.1058373,2.1793833,A,SPMD,1.71,Q2,5.89,Q2,153.46,Q3,Q4,7010000000.0,standard,equity,us,mid_cap,A
186,10.4589615,6.5878687,7.987411,A,SOXL,,Q4,7.13,Q4,62.62,Q1,Q4,6960000000.0,leveraged,equity,us,not_specified,
187,12.828112,5.616993,-0.75952,A,DFUS,1.49,Q2,6.54,Q3,130.99,Q2,Q4,6900000000.0,standard,equity,us,total_market,A
188,4.1138415,4.7703576,7.676799,BBB,FNDA,1.82,Q2,5.46,Q1,153.41,Q3,Q4,6900000000.0,standard,equity,us,small_cap,A
189,12.813211,5.69895,-0.95952547,A,VLUE,3.23,Q4,6.75,Q3,108.38,Q2,Q4,6890000000.0,standard,equity,us,total_market,A
190,12.879445,5.5917087,-0.8635167,A,ESGV,1.36,Q2,6.67,Q3,49.21,Q1,Q4,6880000000.0,standard,equity,us,total_market,A
191,3.2808993,9.475571,10.805665,A,SPYD,5.15,Q4,6.7,Q3,436.72,Q4,Q4,6870000000.0,standard,equity,us,high_dividend_yield,A
192,13.966932,4.887273,-0.7894165,A,VONV,2.32,Q3,6.19,Q2,211.29,Q3,Q4,6840000000.0,standard,equity,us,large_cap,A
193,11.606238,9.721389,-1.781972,BBB,AMLP,7.58,Q4,4.29,Q1,520.57,Q4,Q4,6790000000.0,standard,equity,us,not_specified,
194,15.564246,12.219445,0.7107088,AA,IQLT,2.91,Q3,8.0,Q4,89.09,Q2,Q4,6790000000.0,standard,equity,dev_markets,total_market,A
195,12.794151,5.6565957,-0.80482584,A,SPTM,1.61,Q2,6.62,Q3,122.46,Q2,Q4,6740000000.0,standard,equity,us,total_market,A
196,18.020624,8.739597,14.286374,AA,IGV,0.29,Q1,7.83,Q4,10.59,Q1,Q4,6690000000.0,standard,equity,america_wo_us,not_specified,
197,4.0962887,4.769982,7.684072,BBB,AVUV,1.99,Q3,5.21,Q1,233.0,Q3,Q4,6690000000.0,standard,equity,us,small_cap,A
198,2.7759042,14.53987,3.1437116,A,SPAB,,Q4,6.1,Q2,261.88,Q4,Q4,6680000000.0,standard,fixed_income,us,broad_based,A
199,5.66409,11.048827,11.757266,A,VPL,2.95,Q3,6.85,Q4,128.81,Q2,Q4,6570000000.0,standard,equity,asia_pacific_wo_brics,total_market,A
200,12.092326,8.974968,-2.0003736,A,XLB,2.2,Q3,6.78,Q3,620.83,Q4,Q4,6550000000.0,standard,equity,us,not_specified,A
201,11.593905,9.321335,-1.6059717,BBB,XBI,0.1,Q1,4.88,Q1,36.33,Q1,Q4,6490000000.0,standard,equity,us,not_specified,A
202,3.371612,9.45331,10.781988,A,VYMI,4.89,Q4,6.98,Q4,221.85,Q3,Q4,6480000000.0,standard,equity,global,high_dividend_yield,B
